,Length(cm)
129,27.5430027154945
130,25.9301516691455
131,32.960235852117
132,36.952934112583
133,30.7057887351137
134,31.3125158080973
135,29.8926820893902
136,29.3468267312054
137,28.3438769076159
138,27.0459097738742
139,26.4277917892767
140,28.5399168530096
141,27.4009307517796
142,23.9896571866239
143,25.001342652287
144,33.7122197968581
145,27.4301322244439
146,31.525447642751
147,28.9841976085821
148,30.8806867106667
149,32.6700616697891
150,32.8591147129143
151,28.3851070509231
152,30.0008633770819
153,24.8324234152992
154,27.5687021164918
155,30.6564294470315
156,29.3509717973296
157,30.7480701122514
158,30.5021410799935
159,21.9760769646902
160,24.5513608896922
161,23.2070463458141
162,23.6735057681373
163,22.7450868675243
164,24.7675121356354
165,27.536700124175
166,25.249753315689
167,26.4587928147896
168,23.6089344825529
169,25.8134785913757
170,23.9718258473218
171,25.8140594387883
172,24.0112906171573
173,24.4087626284911
174,24.4066513611043
175,34.8873437531036
176,27.3037816533104
177,40.1124116185307
178,34.2553434338059
179,30.802848506394
180,32.7856543453338
181,30.2985266306837
182,29.4100133867105
183,31.5510064661412
184,32.6783600257951
185,34.0191321851937
186,35.1809255837052
187,33.4254357819286
188,30.8361405431401
189,31.3510344249506
190,30.4818683804904
191,30.8473386270274
192,31.9732593592971
193,32.44785416257
194,35.2034177866569
195,34.2483720855781
196,26.2193062292133
197,32.7840201287909
198,26.6849930816626
199,26.7798680361539
200,27.5936169365195
201,30.8737584378415
202,30.164325428786
203,24.5467128351805
204,25.2310693475951
205,25.1021581375576
206,30.6988147406059
207,28.6602736893576
208,25.9874945755984
209,24.7102403761785
210,27.8087059216514
211,28.0676108344896
212,26.9484610260649
213,28.1339603519082
214,24.4854558065323
215,23.8333188891509
216,31.9904072567316
217,29.3858956292816
218,31.822513320454
219,24.8845481562504
220,25.3179782821789
221,25.8651394170771
222,28.5052338963726
223,26.9586942403232
224,27.2696367347575
225,28.3581398275265
226,29.4525631756909
227,31.38492113969
228,29.854668044082
229,30.8559524593395
230,29.9025848422403
231,26.7626292373964
232,26.2501064758187
233,25.3978339718207
234,25.2155821491875
235,27.1707236536956
236,30.4001738706177
237,24.9901565901467
238,24.2705765167837
239,22.4962587022641
240,23.9689223166623
241,24.8145719799129
242,23.8158637314057
243,25.7998617410377
244,23.1069030413584
245,22.3820352719339
246,30.7791714866037
247,27.7131854085119
248,32.0820964419641
249,31.1318891632591
250,29.4582642661325
251,25.6990272109266
252,28.7168254300081
253,27.9534530195788
254,24.2681830897521
255,18.4616156717823
256,18.3767700290646
257,24.5727706846363
258,24.5206929740989
259,29.2028162920133
260,23.5290031582047
261,28.3444291965062
262,26.7804580833214
263,29.6678909439627
264,27.3294161791411
265,26.3839505772682
266,27.3880093504064
267,29.6292968433317
268,28.7812239537808
269,28.740589764467
270,29.2509564577485
271,27.9776693353763
272,27.9639694128056
273,29.6910925707195
274,17.1677630045443
