n,Dataset,old_n,age,age(old),genotype,strain,name,shape,size,VoxelSizeX,VoxelSizeY,VoxelSizeZ,re-uCT scan,Comments,Phantom,Scaling Value,Arb Value,angle,center
65,EK,200,12,1 year,wt,wt,UAS:kaeda,"(2000, 604, 604)",729632000,0.021003189961379,0.021003189961379,0.021003189961379,* (200_207),"8 fish per scan. Fixed in 4% PFA, Dehydrated to 70% ethanol, wrapped in wet paper and parafilm. Fish in first position has a plastic cap.  * first position . palaeo folder",LONDON AB,LONDON AB,LONDON AB,94,
66,EK,201,12,1 year,wt,wt,UAS:kaeda,"(2000, 630, 630)",793800000,0.021003189961379,0.021003189961379,0.021003189961379,,synchroton,LONDON AB,LONDON AB,LONDON AB,134,
67,EK,202,12,1 year,wt,wt,UAS:kaeda,"(2000, 620, 620)",768800000,0.021003189961379,0.021003189961379,0.021003189961379,,synchroton,LONDON AB,LONDON AB,LONDON AB,327,
68,EK,203,12,1 year,wt,wt,UAS:kaeda,"(2000, 604, 604)",729632000,0.021003189961379,0.021003189961379,0.021003189961379,,synchroton,LONDON AB,LONDON AB,LONDON AB,119,
69,EK,204,12,1 year,wt,wt,UAS:kaeda,"(2000, 614, 614)",753992000,0.021003189961379,0.021003189961379,0.021003189961379,,,LONDON AB,LONDON AB,LONDON AB,162,
70,EK,205,12,1 year,wt,wt,UAS:kaeda,"(2000, 600, 600)",720000000,0.021003189961379,0.021003189961379,0.021003189961379,,,LONDON AB,LONDON AB,LONDON AB,126,
71,EK,206,12,1 year,wt,wt,UAS:kaeda,"(2000, 620, 620)",768800000,0.021003189961379,0.021003189961379,0.021003189961379,,,LONDON AB,LONDON AB,LONDON AB,305,
72,EK,207,12,1 year,wt,wt,UAS:kaeda,"(2000, 600, 600)",720000000,0.021003189961379,0.021003189961379,0.021003189961379,* (208_215),,LONDON AB,LONDON AB,LONDON AB,163,
73,EK,208,12,1 year,wt,wt,UAS:kaeda,,,,,,,,EKPhantoms_21SepLowRes,6.6315,2.5,,
74,EK,209,12,1 year,wt,wt,UAS:kaeda,,,,,,,shg+ histology,EKPhantoms_21SepLowRes,6.6315,2.5,,
75,EK,210,12,1 year,wt,wt,UAS:kaeda,,,,,,,,EKPhantoms_21SepLowRes,6.6315,2.5,,
76,EK,211,12,1 year,wt,wt,UAS:kaeda,,,,,,,shg+ histology,EKPhantoms_21SepLowRes,6.6315,2.5,,
77,EK,212,12,1 year,wt,wt,UAS:kaeda,,,,,,,,EKPhantoms_21SepLowRes,6.6315,2.5,,
78,EK,213,12,1 year,wt,wt,UAS:kaeda,,,,,,,shg+ histology,EKPhantoms_21SepLowRes,6.6315,2.5,,
79,EK,214,12,1 year,wt,wt,UAS:kaeda,,,,,,,,EKPhantoms_21SepLowRes,6.6315,2.5,,
80,EK,215,12,1 year,wt,wt,UAS:kaeda,,,,,,,,EKPhantoms_21SepLowRes,6.6315,2.5,,
81,EK,216,12,1 year,wt,wt,UAS:kaeda,"(2000, 594, 594)",705672000,0.021556144970982,0.021556144970982,0.021556144970982,* (216_223),,LONDON AB,LONDON AB,LONDON AB,204,
82,EK,217,12,1 year,wt,wt,UAS:kaeda,"(2000, 560, 560)",627200000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,55,
83,EK,218,12,1 year,wt,wt,UAS:kaeda,"(2000, 590, 590)",696200000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,293,
84,EK,219,12,1 year,wt,wt,UAS:kaeda,"(2000, 580, 580)",672800000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,118,
85,EK,220,12,1 year,wt,wt,UAS:kaeda,"(2000, 554, 554)",613832000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,113,
86,EK,221,30,2.5 year,wt,wt,UAS:kaeda,"(2000, 580, 580)",672800000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,114,
87,EK,222,30,2.5 year,wt,wt,UAS:kaeda,"(2000, 600, 600)",720000000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,200,
88,EK,223,30,2.5 year,wt,wt,UAS:kaeda,"(2000, 580, 580)",672800000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,346,
89,EK,224,30,2.5 year,wt,wt,UAS:kaeda,"(2000, 520, 520)",540800000,0.021556144970982,0.021556144970982,0.021556144970982,* (224_231),,LONDON AB,LONDON AB,LONDON AB,46,
90,EK,225,30,2.5 year,wt,wt,UAS:kaeda,"(2000, 554, 554)",613832000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,121,
91,EK,226,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 534, 534)",570312000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,113,
92,EK,227,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 520, 520)",540800000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,122,
93,EK,228,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 564, 564)",636192000,0.021556144970982,0.021556144970982,0.021556144970982,,shg+ histology,LONDON AB,LONDON AB,LONDON AB,51,
94,EK,229,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 560, 560)",627200000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,96,
95,EK,230,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 554, 554)",613832000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,213,
96,EK,231,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 600, 600)",720000000,0.021556144970982,0.021556144970982,0.021556144970982,,,LONDON AB,LONDON AB,LONDON AB,83,
97,EK,232,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 560, 560)",627200000,0.023028509505333,0.023028509505333,0.023028509505333,* (232_239),Synchroton,LONDON AB,LONDON AB,LONDON AB,222,
98,EK,233,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 540, 540)",583200000,0.023028509505333,0.023028509505333,0.023028509505333,,Synchroton,LONDON AB,LONDON AB,LONDON AB,70,
99,EK,234,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 510, 510)",520200000,0.023028509505333,0.023028509505333,0.023028509505333,,Synchroton,LONDON AB,LONDON AB,LONDON AB,273,
100,EK,235,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 560, 560)",627200000,0.023028509505333,0.023028509505333,0.023028509505333,,,LONDON AB,LONDON AB,LONDON AB,194,
101,EK,236,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 534, 534)",570312000,0.023028509505333,0.023028509505333,0.023028509505333,,,LONDON AB,LONDON AB,LONDON AB,3,
102,EK,237,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 544, 544)",591872000,0.023028509505333,0.023028509505333,0.023028509505333,,,LONDON AB,LONDON AB,LONDON AB,211,
103,EK,238,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 544, 544)",591872000,0.023028509505333,0.023028509505333,0.023028509505333,,shg+ histology,LONDON AB,LONDON AB,LONDON AB,0,
104,EK,239,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 550, 550)",605000000,0.023028509505333,0.023028509505333,0.023028509505333,,shg+ histology,LONDON AB,LONDON AB,LONDON AB,257,
105,EK,240,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 560, 560)",627200000,0.023485048797047,0.023485048797047,0.023485048797047,* (240_247),shg+ histology,LONDON AB,LONDON AB,LONDON AB,52,
106,EK,241,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 550, 550)",605000000,0.023485048797047,0.023485048797047,0.023485048797047,,,LONDON AB,LONDON AB,LONDON AB,109,
107,EK,242,36,3 year,wt,wt,wnt:gfp col2a1:mch,"(2000, 540, 540)",583200000,0.023485048797047,0.023485048797047,0.023485048797047,,,LONDON AB,LONDON AB,LONDON AB,315,
108,EK,243,36,3 year,wt,wt,tg from london chrissy friend,"(2000, 550, 550)",605000000,0.023485048797047,0.023485048797047,0.023485048797047,,,LONDON AB,LONDON AB,LONDON AB,106,
109,EK,244,36,3 year,wt,wt,tg from london chrissy friend,"(2000, 524, 524)",549152000,0.023485048797047,0.023485048797047,0.023485048797047,,ELIS,LONDON AB,LONDON AB,LONDON AB,189,
110,EK,245,36,3 year,wt,wt,tg from london chrissy friend,"(2000, 570, 570)",649800000,0.023485048797047,0.023485048797047,0.023485048797047,,ELIS,LONDON AB,LONDON AB,LONDON AB,96,
111,EK,246,36,3 year,wt,wt,tg from london chrissy friend,"(2000, 644, 644)",829472000,0.023485048797047,0.023485048797047,0.023485048797047,,ELIS,LONDON AB,LONDON AB,LONDON AB,56,
112,EK,247,12,2. year,wt,wt,osx:nls-egfp,"(2000, 564, 564)",636192000,0.023485048797047,0.023485048797047,0.023485048797047,,contrast enhance for 1.5 week and not dehydrated (check for fat),LONDON AB,LONDON AB,LONDON AB,328,
113,EK,248,18,1.5 year,hom,arid1b,Arid1b -/- ,"(1999, 604, 526)",635090296,0.021642132034099,0.021642132034099,0.021642132034099,* (248_255),,LONDON AB,LONDON AB,LONDON AB,23,
114,EK,249,18,1.5 year,hom,arid1b,Arid1b -/- ,"(1999, 590, 590)",695851900,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,109,
115,EK,250,18,1.5 year,hom,arid1b,Arid1b -/- ,"(1999, 634, 634)",803510044,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,178,
116,EK,251,18,1.5 year,hom,arid1b,Arid1b -/- ,"(1999, 590, 590)",695851900,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,152,
117,EK,252,18,1.5 year,hom,arid1b,Arid1b -/- ,"(1999, 594, 594)",705319164,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,289,
118,EK,253,18,1.5 year,hom,arid1b,Arid1b -/- ,"(1999, 620, 620)",768415600,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,292,
119,EK,254,18,1.5 year,hom,arid1b,Arid1b -/- ,"(1999, 590, 590)",695851900,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,176,
120,EK,255,18,1.5 year,hom,arid1b,Arid1b -/- ,"(1999, 604, 604)",729267184,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,149,
121,EK,256,18,1.5 year,het,col11a2,col11a2 +/-,"(1999, 520, 520)",540529600,0.021642132034099,0.021642132034099,0.021642132034099,* (256_263),HR  + contrast,LONDON AB,LONDON AB,LONDON AB,51,
122,EK,257,18,1.5 year,het,col11a2,col11a2 +/-,"(1999, 534, 534)",570026844,0.021642132034099,0.021642132034099,0.021642132034099,,shg+ histology,LONDON AB,LONDON AB,LONDON AB,280,
123,EK,258,18,1.5 year,het,col11a2,col11a2 +/-,"(1999, 584, 584)",681770944,0.021642132034099,0.021642132034099,0.021642132034099,,shg+ histology,LONDON AB,LONDON AB,LONDON AB,310,
124,EK,259,18,1.5 year,het,col11a2,col11a2 +/-,"(1999, 590, 590)",695851900,0.021642132034099,0.021642132034099,0.021642132034099,,shg+ histology,LONDON AB,LONDON AB,LONDON AB,139,
125,EK,260,8,8 months,hom,panther,panther(csfr1a)j4e1 -/-,"(1999, 600, 600)",719640000,0.021642132034099,0.021642132034099,0.021642132034099,,HR head and ribs,LONDON AB,LONDON AB,LONDON AB,311,
126,EK,261,8,8 months,hom,panther,panther(csfr1a)j4e1 -/-,"(1999, 584, 584)",681770944,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,105,
127,EK,262,8,8 months,hom,panther,panther(csfr1a)j4e1 -/-,"(1999, 594, 594)",705319164,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,229,
128,EK,263,8,8 months,hom,panther,panther(csfr1a)j4e1 -/-,"(1999, 554, 554)",613525084,0.021642132034099,0.021642132034099,0.021642132034099,,,LONDON AB,LONDON AB,LONDON AB,222,
129,EK,264,10,10 months,wt,giantin,giantin sib,"(2000, 560, 560)",627200000,0.021197756043916,0.021197756043916,0.021197756043916,* (264_271),,LONDON AB,LONDON AB,LONDON AB,17,
