,Length(cm)
140,28.5399168530096
141,27.400930751779597
142,23.989657186623873
143,25.001342652286983`
144,33.71221979685809
145,27.430132224443884
146,31.525447642750965
147,28.98419760858209
148,30.880686710666716
149,32.670061669789106
150,32.85911471291434
151,28.38510705092307
152,30.000863377081924
153,24.83242341529924
154,27.56870211649185
155,30.656429447031474
156,29.350971797329624
157,30.748070112251355
158,30.502141079993535
159,21.976076964690215
160,24.551360889692237
161,23.20704634581409
162,23.673505768137282
163,22.74508686752425
164,24.76751213563545
165,27.536700124174978
166,25.249753315688967
167,26.458792814789593
168,23.608934482552918
169,25.813478591375745
170,23.97182584732179
171,25.814059438788327
172,24.01129061715735
173,24.408762628491125
174,24.406651361104334
175,34.88734375310362
176,27.303781653310406
177,40.112411618530736
178,34.25534343380592
179,30.802848506393968
180,32.78565434533377
181,30.298526630683746
182,29.410013386710528
183,31.551006466141246
184,32.678360025795065
185,34.01913218519367
186,35.18092558370519
187,33.42543578192858
188,30.83614054314013
189,31.351034424950555
190,30.481868380490425
191,30.847338627027426
192,31.97325935929712
193,32.44785416257
194,35.203417786656885
195,34.248372085578055
196,26.21930622921329
197,32.784020128790935
198,26.684993081662636
199,26.779868036153886
200,27.59361693651951
201,30.873758437841495
202,30.164325428785972
203,24.546712835180536
204,25.231069347595124
205,25.10215813755764
206,30.698814740605908
207,28.660273689357606
208,25.987494575598443
209,24.710240376178493
210,27.80870592165139
211,28.06761083448965
212,26.948461026064923
213,28.133960351908176
214,24.48545580653231
215,23.83331888915089
216,31.990407256731572
217,29.38589562928164
218,31.82251332045398
219,24.884548156250432
220,25.31797828217891
221,25.865139417077128
222,28.505233896372616
223,26.958694240323226
224,27.269636734757512
225,28.358139827526536
226,29.45256317569094
227,31.38492113969
228,29.85466804408199
229,30.855952459339495
230,29.902584842240334
231,26.76262923739641
232,26.250106475818708
233,25.397833971820663
234,25.21558214918753
235,27.170723653695603
236,30.400173870617667
237,24.990156590146665
238,24.27057651678372
239,22.496258702264097
240,23.968922316662265
241,24.8145719799129
242,23.81586373140573
243,25.79986174103771
244,23.106903041358436
245,22.382035271933876
246,30.779171486603733
247,27.713185408511887
248,32.08209644196407
249,31.13188916325908
250,29.458264266132506
251,25.699027210926644
252,28.716825430008093
253,27.95345301957883
254,24.268183089752146
255,18.46161567178227
256,18.3767700290646
257,24.57277068463634
258,24.520692974098925
259,29.202816292013264
260,23.5290031582047
261,28.344429196506226
262,26.780458083321353
263,29.667890943962725
264,27.3294161791411
265,26.383950577268177
266,27.388009350406385
267,29.629296843331733
268,28.781223953780763
269,28.74058976446704
270,29.250956457748543
271,27.977669335376323
272,27.963969412805568
273,29.691092570719523
274,17.16776300454431
275,18.946310354521536
276,24.59190071934767
277,22.768554404754706
278,22.178664358978533
279,23.398802306972378
280,23.043832910943056
281,25.684925073092693
282,21.495242251964175
283,18.89232759365833
284,25.659575773152817
285,21.15844469872525
286,29.239507019824515
287,28.637087875173556
288,27.917677619645286
289,26.558146489550964
290,28.221932278900564
291,27.474288711821877
292,31.743315844576806
293,16.71975698028599
294,27.149004017618292
295,29.04996704796242
296,29.22426220102504
297,25.743184539565394
298,29.897400343082058
299,14.88485611243738
300,27.42016654065622
301,26.55367881832564
302,30.368024456879333
303,29.987996222193026
304,32.8953721427127
305,34.79207238434295
306,31.337123759128936
307,31.244540136286055
308,28.986036306328288
309,32.59464241169339
310,26.01777841446204
311,28.167503132006065
312,26.804603799190517
313,27.840098335036036
314,30.466158372725165
315,30.180353540578498
316,23.089484282076537
317,23.76534622002493
318,23.625461799286825
319,23.585759645377436
320,22.180195302187876
321,34.63601037464257
322,22.83655701085844
323,18.36678657036765
324,19.519451350613657
325,19.794981809778246
326,17.7149846810904
327,18.30985700246834
328,21.071883728234784
329,20.351297335353006
330,17.88975304398387
331,26.762080030210072
332,31.78588577819323
333,29.433674336059575
334,31.32918084090326
335,29.23313007680855
336,27.8909661065844
337,29.37468616941775
338,19.990401337871944
339,19.467396934401982
340,29.207851022258353
341,26.39983833852765
342,32.17766819323225
343,28.971757271737793
344,29.739403746699058
345,30.58483890429136
346,27.29240654258097
347,20.322727605754906
